Setting,Fluff,upper thickness,upper vp,corrected upper vp,middle thickness,middle vp,corrected middle vp,lower thickness,lower vp,corrected lower vp,lowest thickness,lowest vp,corrected lowest vp,moho,"%, RF model 1","%, RF model 2"
Cenozoic-Mesozoic Extentional Terranes,3,16,6,6.22,,,,11,6.64,6.89,,,,30,0.03,0.035
Cenozoic-Mesozoic Extentional Terranes,3,9.5,6.1,6.3,7,6.35,6.57,8.5,6.6,6.86,3,7.35,7.6,31,0.03,0.035
Cenozoic-Mesozoic Extentional Terranes,,10,5.5,5.5,10,6,6.21,12,6.6,6.86,,,,32,0.03,0.035
Cenozoic-Mesozoic Extentional Terranes,2,22,6.2,6.35,,,,7,6.65,6.84,3,7.7,7.9,34,0.03,0.035
Cenozoic-Mesozoic Extentional Terranes,,9,5.75,5.9,12,6.25,646,8,6.85,7.11,,,,29,0.03,0.035
Cenozoic-Mesozoic Extentional Terranes,,8,6,6,10,6.1,6.3,8,6.6,6.85,2,6.8,7.07,28,0.03,0.035
Cenozoic-Mesozoic Extentional Terranes,,15,5.9,6.06,10,6.15,6.36,10,6.75,6.98,,,,35,0.03,0.035
Cenozoic-Mesozoic Extentional Terranes,,5,5.8,5.9,15,6.13,6.3,10,6.55,6.77,,,,30,0.03,0.035
Arcs,,7.6,6,6,19.4,6.45,6.65,15,6.9,7.2,4,7.4,7.7,46,0.06,0.07
Arcs,1,12,6.3,6.5,8,6.8,7,15,7.03,7.25,,,,36,0.06,0.07
Arcs,,4,6,6,12,5.9,6.1,30,6.9,7.16,,,,46,0.06,0.07
Arcs,,19,6,6,,,,20,6.8,7.06,,,,39,0.06,0.07
Arcs,,12,6.2,6.46,13,6.45,6.74,8,6.95,7.22,,,,33,0.06,0.07
Forearcs,4,4,6.35,648,7,6.5,6.63,12,6.85,6.97,0.5,7.45,7.57,27.5,0.06,0.07
Forearcs,,7,5.95,6.07,11,6.6,6.75,11,6.85,6.97,,,,29,0.06,0.07
Forearcs,,10,5.7,5.82,13,6.48,6.6,6,6.84,6.95,,,,29,0.06,0.07
Forearcs,,7,5.6,5.73,8,6.4,6.5,14,7.05,7.15,,,,29,0.06,0.07
Forearcs,4,4,6.1,6.22,12,6.48,6.6,6,6.99,7.02,,,,26,0.06,0.07
Forearcs,1,12,6.3,643,9,6.65,6.75,8,7,7.09,,,,30,0.06,0.07
Forearcs,,3,5.2,5.33,12,6.1,6.25,12,6.7,6.88,,,,27,0.06,0.07
Forearcs,4,10,5.63,5.78,,,,6,6.9,7.07,,,,20,0.06,0.07
Forearcs,,4,4.9,5.02,11,5.8,5.95,8,6.9,7.07,,,,23,0.06,0.07
Forearcs,5,8,5.75,6,7,6.7,6.87,7,7.2,7.38,,,,27,0.06,0.07
Forearcs,4,4,6,6.12,11,6.66,6.77,8,7,7.1,,,,27,0.06,0.07
Forearcs,,4,3.1,3.22,10,5.75,5.86,13,6.87,6.97,,,,27,0.06,0.07
Forearcs,1,5,4,4.13,8,5.5,5.63,7,6.85,6.98,,,,21,0.06,0.07
Forearcs,1.5,2.5,3.8,3.93,13.5,5.99,6.11,4,6.9,7.02,,,,21.5,0.06,0.07
Active Rifts,,13,6,6,,,,12,6.65,6.8,,,,25,0.06,0.07
Active Rifts,,8,6,6,,,,17,6.25,6.47,,,,25,0.06,0.07
Active Rifts,2,4,5.8,5.95,21,6.43,6.64,9,6.83,7.07,,,,36,0.06,0.07
Active Rifts,1,3,5.8,5.95,6,6.3,6.48,10,6.61,6.83,,,,20,0.06,0.07
Active Rifts,,13,6,6,1,6.9,7.11,6,7.35,7.58,,,,20,0.06,0.07
Active Rifts,,12,6,6.1,8,6.1,6.34,10,6.67,6.93,,,,30,0.06,0.07
Active Rifts,3,15,6.2,6.4,10,6.6,6.84,5,7.2,7.43,,,,33,0.06,0.07
Active Rifts,,19,6.15,6.31,,,,8,6.6,6.81,5,7.3,7.52,32,0.06,0.07
Rifted margins ,,8,6,6,9,6,6.13,4,7,7.15,,,,21,0.15,0.1
Rifted margins ,,13,6,6,4,6.5,6.65,3,7.5,7.6,,,,20,0.15,0.1
Rifted margins ,,6,6,6,12,6.4,6.54,9,6.8,6.95,,,,27,0.15,0.1
Rifted margins ,,10,6,6,2.5,6.4,6.56,2.5,6.8,6.97,,,,15,0.15,0.1
Rifted margins ,2,2,5.05,5.18,10,6.29,645,8,6.8,7,,,,22,0.15,0.1
Rifted margins ,,9,6,6,6,6,6.15,6,6.5,6.66,,,,21,0.15,0.1
Rifted margins ,,6,6,6,10,6.5,6.65,9,7,7.23,,,,25,0.15,0.1
Rifted margins ,,7,6,6,3,6.85,7,11,7.26,7.43,,,,21,0.15,0.1
Rifted margins ,,7,6,6,3,6.35,6.51,17,7,7.29,,,,27,0.15,0.1
Rifted margins ,2.5,2,6,6,3,6.75,6.92,3,7.25,7.41,14,7.5,7.67,24.5,0.15,0.1
Rifted margins ,,4.5,6,6,3,6.2,6.31,14.5,7.4,7.51,,,,22,0.15,0.1
Rifted margins ,,8,6,6,2,6.3,6.45,24,6.65,6.83,,,,34,0.15,0.1
Rifted margins ,,11,6,6,6,6.3,6.47,15,,7.58,,,,32,0.15,0.1
