Number ,Sample,T,P ,Vp VRH,Vs VRH ,VpVs VRH,Rho HS ,Vp HS,Vs HS,VpVs HS
1,D95-10,20,25,6.594,3.709,1.777827648,2.9318,6.6000,3.7113,1.7783
2,D95-11,20,25,6.5029,3.6193,1.796690684,3.0355,6.5050,3.6216,1.7962
3,D95-12,20,25,6.2097,3.5263,1.760983596,2.9924,6.2046,3.5266,1.7594
4,D95-13,20,25,6.40,3.61,1.774137588,2.707,6.40,3.61,1.77
5,D95-16,20,25,6.47,3.59,1.803638021,2.833,6.47,3.59,1.80
6,D95-19,20,25,6.50,3.55,1.828853626,2.978,6.50,3.56,1.83
7,D95-2,20,25,6.91,3.90,1.772297259,3.074,6.91,3.90,1.77
8,D95-22,20,25,6.47,4.01,1.611472869,2.769,6.45,4.00,1.61
9,D95-24,20,25,8.34,4.90,1.701049237,3.388,8.39,4.91,1.71
10,D95-25,20,25,8.69,5.01,1.736183732,3.416,8.72,5.01,1.74
11,D95-26,20,25,7.46,4.37,1.70661074,3.201,7.46,4.37,1.71
12,D95-27,20,25,7.64,4.39,1.740062261,3.090,7.62,4.40,1.73
13,D95-3,20,25,7.77,4.52,1.71799681,3.237,7.76,4.52,1.72
14,D95-32,20,25,7.84,4.60,1.702530188,3.267,7.86,4.61,1.71
15,D95-35,20,25,6.83,3.69,1.850485811,3.266,6.80,3.70,1.84
16,D95-38,20,25,8.19,4.72,1.734093404,3.461,8.22,4.72,1.74
17,D95-39,20,25,6.48,3.79,1.708178713,3.018,6.46,3.77,1.71
18,D95-4,20,25,6.89,3.86,1.785725395,3.100,6.88,3.86,1.78
19,D95-40,20,25,7.67,4.50,1.702173611,3.286,7.65,4.51,1.70
20,D95-44,20,25,6.19,3.84,1.612970761,2.804,6.18,3.84,1.61
21,D95-6,20,25,6.19,3.55,1.742240109,2.995,6.18,3.55,1.74
22,D95-7,20,25,6.42,3.74,1.718787127,2.821,6.41,3.74,1.71
23,D95-9,20,25,6.49,4.18,1.55210319,2.821,6.44,4.17,1.55
