Sample,,25 Mpa,50 Mpa,100 Mpa,200 Mpa,400 Mpa,600 Mpa,100 C,200 C,400 C,600 C
D95-10,X,6.01,6.2,6.3,6.39,6.46,6.51,6.48,6.45,6.4,6.35
D95-10,Y,5.88,6.07,6.22,6.33,6.41,6.46,6.43,6.4,6.35,6.29
D95-10,Z,5.51,5.78,6.04,6.26,6.4,6.47,6.45,6.42,6.37,6.3
D95-10,Mean,5.8,6.02,6.19,6.33,6.42,6.48,6.45,6.43,6.37,6.31
D95-10,Anis,8.65,6.91,4.14,2,0.94,0.69,0.74,0.77,0.77,0.99
D95-11,X,6.05,6.31,6.5,6.64,6.74,6.79,6.77,6.74,6.71,6.69
D95-11,Y,5.59,5.93,6.16,6.34,6.47,6.55,6.51,6.49,6.45,6.39
D95-11,Z,5.39,5.78,6.1,6.35,6.51,6.58,6.55,6.53,6.49,6.45
D95-11,Mean,5.68,6.01,6.26,6.45,6.57,6.64,6.61,6.59,6.55,6.51
D95-11,Anis,11.64,8.91,6.44,4.63,4.01,3.72,3.89,3.9,4.04,4.53
D95-12,X,5.93,6.11,6.29,6.46,6.61,6.69,6.67,6.65,6.63,6.58
D95-12,Y,5.06,5.39,5.69,5.97,6.21,6.33,6.31,6.29,6.26,6.19
D95-12,Z,4.31,4.82,5.32,5.7,5.95,6.07,6.04,6.02,5.99,5.92
D95-12,Mean,5.1,5.44,5.76,6.04,6.26,6.36,6.34,6.32,6.29,6.23
D95-12,Anis,31.75,23.7,16.76,12.6,10.46,9.74,9.86,9.91,10.17,10.68
D95-13,X,5.41,5.62,5.79,5.91,6,6.05,6.04,6.02,5.95,5.87
D95-13,Y,5.36,5.61,5.8,5.94,6.03,6.08,6.07,6.04,5.98,5.9
D95-13,Z,4.92,5.28,5.63,5.89,6.04,6.11,6.1,6.08,6.01,5.93
D95-13,Mean,5.23,5.5,5.74,5.91,6.03,6.08,6.07,6.05,5.98,5.9
D95-13,Anis,9.38,6.22,2.95,0.8,0.65,0.97,1.02,1.07,1.15,0.94
D95-16,X,5.74,5.87,6.01,6.12,6.22,6.27,6.25,6.23,6.16,6.09
D95-16,Y,5.63,5.81,5.98,6.12,6.24,6.31,6.3,6.28,6.23,6.17
D95-16,Z,5.28,5.54,5.79,6.01,6.18,6.26,6.25,6.22,6.14,6.07
D95-16,Mean,5.55,5.74,5.93,6.08,6.21,6.28,6.27,6.24,6.18,6.11
D95-16,Anis,8.27,5.91,3.66,1.82,1,0.71,0.85,0.97,1.42,1.59
D95-19,X,5.11,5.37,5.59,5.81,6.02,6.13,6.09,6.06,6.02,6.06
D95-19,Y,4.99,5.25,5.48,5.72,5.96,6.08,6.03,5.99,5.95,5.98
D95-19,Z,4.93,5.19,5.48,5.75,6,6.13,6.08,6.05,6.03,6.06
D95-19,Mean,5.01,5.27,5.52,5.76,5.99,6.11,6.06,6.03,6,6.03
D95-19,Anis,3.6,3.45,1.98,1.58,1.12,0.83,1.02,1.09,1.33,1.21
D95-2,X,6.42,6.57,6.68,6.8,6.9,6.96,6.95,6.92,6.87,6.82
D95-2,Y,6.24,6.44,6.61,6.76,6.87,6.93,6.92,6.9,6.85,6.81
D95-2,Z,6.01,6.24,6.45,6.65,6.78,6.84,6.84,6.82,6.76,6.72
D95-2,Mean,6.22,6.42,6.58,6.73,6.85,6.91,6.9,6.88,6.83,6.79
D95-2,Anis,6.68,5.14,3.46,2.24,1.71,1.6,1.6,1.49,1.52,1.5
D95-22,X,5.49,5.72,5.94,6.12,6.25,6.31,6.29,6.26,6.19,6.1
D95-22,Y,5.71,5.93,6.08,6.21,6.31,6.36,6.34,6.31,6.23,6.15
D95-22,Z,4.94,5.23,5.54,5.8,5.97,6.04,6.03,6,5.94,5.84
D95-22,Mean,5.38,5.62,5.85,6.04,6.18,6.24,6.22,6.19,6.12,6.03
D95-22,Anis,14.22,12.4,9.25,6.73,5.4,5.03,5.03,4.97,4.82,5.22
D95-24,X,7.4,7.56,7.68,7.79,7.89,7.94,7.93,7.89,7.81,7.76
D95-24,Y,7.47,7.64,7.73,7.82,7.9,7.95,7.94,7.9,7.79,7.74
D95-24,Z,6.96,7.19,7.41,7.6,7.74,7.8,7.78,7.74,7.66,7.6
D95-24,Mean,7.28,7.46,7.6,7.74,7.84,7.9,7.88,7.84,7.76,7.7
D95-24,Anis,7,6,4.27,2.94,2.12,1.95,1.98,1.95,1.9,2.09
D95-25,X,7.26,7.49,7.66,7.83,7.98,8.06,8.03,8.01,7.94,7.9
D95-25,Y,7.4,7.62,7.78,7.93,8.06,8.13,8.11,8.08,8.01,7.98
