Sample,,25 Mpa,50 Mpa,100 Mpa,200 Mpa,400 Mpa,600 Mpa,100 C,200 C,400 C,600 C
D95-10,X,3.35,3.45,3.55,3.6,3.64,3.65,3.63,3.62,3.57,3.54
D95-10,Y,3.3,3.41,3.5,3.58,3.62,3.63,3.61,3.59,3.55,3.51
D95-10,Z,3.31,3.4,3.48,3.55,3.59,3.6,3.59,3.57,3.53,3.49
D95-10,Mean,3.32,3.42,3.51,3.58,3.61,3.63,3.61,3.59,3.55,3.51
D95-10,Vs k Fol.,0.2,0.16,0.11,0.08,0.07,0.07,0.08,0.08,0.09,0.1
D95-11,X,3.44,3.57,3.67,3.75,3.79,3.81,3.8,3.77,3.73,3.71
D95-11,Y,3.31,3.46,3.56,3.65,3.7,3.72,3.7,3.67,3.64,3.6
D95-11,Z,3.34,3.47,3.57,3.66,3.71,3.73,3.71,3.69,3.65,3.63
D95-11,Mean,3.36,3.5,3.6,3.69,3.73,3.75,3.73,3.71,3.67,3.65
D95-11,Vs k Fol.,0.07,0.06,0.06,0.07,0.07,0.07,0.07,0.07,0.08,0.08
D95-12,X,3.17,3.3,3.41,3.51,3.57,3.61,3.59,3.56,3.53,3.48
D95-12,Y,3.1,3.23,3.35,3.46,3.53,3.56,3.55,3.52,3.5,3.45
D95-12,Z,2.95,3.09,3.22,3.34,3.41,3.44,3.43,3.4,3.38,3.33
D95-12,Mean,3.07,3.21,3.33,3.43,3.51,3.54,3.52,3.5,3.47,3.42
D95-12,Vs k Fol.,0.39,0.39,0.36,0.34,0.32,0.32,0.33,0.33,0.33,0.33
D95-13,X,3.15,3.31,3.44,3.53,3.57,3.58,3.58,3.58,3.55,3.53
D95-13,Y,3.13,3.3,3.44,3.53,3.57,3.57,3.58,3.57,3.55,3.52
D95-13,Z,3.08,3.25,3.4,3.5,3.55,3.56,3.57,3.56,3.54,3.52
D95-13,Mean,3.12,3.29,3.43,3.52,3.56,3.57,3.58,3.57,3.54,3.52
D95-13,Vs k Fol.,0.04,0.03,0.02,0.03,0.04,0.04,0.04,0.04,0.04,0.03
D95-16,X,3.25,3.37,3.45,3.52,3.56,3.58,3.58,3.56,3.51,3.48
D95-16,Y,3.22,3.34,3.44,3.51,3.56,3.58,3.57,3.56,3.53,3.5
D95-16,Z,3.17,3.28,3.37,3.45,3.5,3.52,3.52,3.5,3.46,3.44
D95-16,Mean,3.21,3.33,3.42,3.49,3.54,3.56,3.56,3.54,3.5,3.47
D95-16,Vs k Fol.,0.13,0.14,0.15,0.15,0.14,0.13,0.13,0.14,0.13,0.11
D95-19,X,3.06,3.18,3.28,3.38,3.47,3.51,3.47,3.45,3.42,3.42
D95-19,Y,3.02,3.14,3.25,3.35,3.44,3.47,3.44,3.42,3.4,3.4
D95-19,Z,3.04,3.15,3.25,3.36,3.45,3.48,3.46,3.44,3.41,3.42
D95-19,Mean,3.04,3.16,3.26,3.36,3.45,3.49,3.46,3.43,3.41,3.41
D95-19,Vs k Fol.,0.03,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.02,0.02
D95-2,X,3.58,3.72,3.83,3.91,2.2,3.98,3.98,3.96,3.91,3.88
D95-2,Y,3.6,3.74,3.84,3.92,3.96,3.98,3.98,3.96,3.92,3.88
D95-2,Z,3.64,3.75,3.84,3.91,3.95,3.97,3.97,3.95,3.91,3.89
D95-2,Mean,3.61,3.74,3.84,3.91,3.37,3.97,3.98,3.96,3.91,3.88
D95-2,Vs k Fol.,0.06,0.03,0.03,0.05,0.06,0.06,0.07,0.07,0.07,0.07
D95-22,X,3.31,3.45,3.57,3.67,3.72,3.74,3.73,3.72,3.69,3.64
D95-22,Y,3.3,3.44,3.56,3.66,3.71,3.73,3.72,3.71,3.67,3.63
D95-22,Z,3.25,3.37,3.48,3.58,3.64,3.65,3.65,3.63,3.6,3.55
D95-22,Mean,3.29,3.42,3.53,3.63,3.69,3.7,3.7,3.69,3.65,3.61
D95-22,Vs k Fol.,0.14,0.13,0.13,0.15,0.16,0.16,0.17,0.16,0.16,0.17
D95-24,X,4.22,4.38,4.49,4.57,4.63,4.65,4.65,4.62,4.56,4.53
D95-24,Y,4.26,4.39,4.5,4.6,4.65,4.67,4.67,4.64,4.56,4.53
D95-24,Z,4.19,4.32,4.43,4.53,4.59,4.62,4.62,4.59,4.53,4.49
D95-24,Mean,4.23,4.36,4.47,4.57,4.62,4.65,4.64,4.62,4.55,4.52
D95-24,Vs k Fol.,0.21,0.19,0.08,0.02,0.04,0.05,0.05,0.05,0.06,0.05
D95-25,X,4.29,4.47,4.59,4.66,4.72,4.75,4.75,4.72,4.68,4.64
D95-25,Y,4.27,4.49,4.61,4.69,4.75,4.78,4.78,4.75,4.68,4.66
D95-25,Z,4.33,4.43,4.51,4.59,4.66,4.7,4.69,4.67,4.62,4.59
D95-25,Mean,4.3,4.46,4.57,4.65,4.71,4.74,4.74,4.72,4.66,4.63
D95-25,Vs k Fol.,0.13,0.07,0,0.04,0.05,0.05,0.05,0.06,0.06,0.06
D95-26,X,3.71,3.82,3.91,3.96,4,4.02,4.01,3.98,3.91,3.87
D95-26,Y,3.7,3.85,3.9,3.95,3.99,4,3.99,3.96,3.9,3.84
D95-26,Z,3.7,3.75,3.8,3.84,3.88,3.89,3.88,3.85,3.79,3.75
D95-26,Mean,3.71,3.81,3.87,3.92,3.95,3.97,3.96,3.93,3.87,3.82
D95-26,Vs k Fol.,0.11,0.18,0.17,0.17,0.18,0.18,0.19,0.19,0.19,0.19
D95-27,X,3.66,3.83,3.89,3.9,3.91,3.92,3.9,3.87,3.78,3.7
D95-27,Y,3.66,3.72,3.82,3.84,3.85,3.87,3.85,3.81,3.71,3.64
D95-27,Z,3.82,3.87,3.88,3.89,3.9,3.91,3.89,3.86,3.77,3.69
D95-27,Mean,3.71,3.81,3.87,3.88,3.89,3.9,3.88,3.85,3.76,3.68
D95-27,Vs k Fol.,0.21,0.2,0.05,0.07,0.06,0.07,0.06,0.06,0.07,0.07
D95-3,X,3.96,4.12,4.19,4.2,4.2,4.22,4.21,4.18,4.13,4.05
D95-3,Y,3.97,4.05,4.15,4.2,4.2,4.21,4.2,4.17,4.11,4.03
D95-3,Z,4.07,4.14,4.17,4.18,4.2,4.21,4.2,4.17,4.11,4.02
D95-3,Mean,4,4.1,4.17,4.2,4.2,4.21,4.2,4.17,4.11,4.03
D95-3,Vs k Fol.,0.11,0.06,0.02,0.05,0.05,0.05,0.05,0.05,0.05,0.04
D95-32,X,3.93,4.12,4.27,4.43,4.54,4.58,4.57,4.61,4.49,4.46
D95-32,Y,3.84,4.04,4.2,4.36,4.47,4.5,4.49,4.48,4.43,4.38
D95-32,Z,3.92,4.08,4.25,4.42,4.53,4.57,4.57,4.49,4.5,4.46
D95-32,Mean,3.9,4.08,4.24,4.4,4.51,4.55,4.54,4.52,4.47,4.43
D95-32,Vs k Fol.,0.04,0.01,0,0,0.02,0.02,0.03,0.03,0.04,0.04
D95-35,X,3.17,3.15,3.25,3.33,3.39,3.42,3.36,3.29,3.19,3.02
D95-35,Y,3.13,3.16,3.23,3.31,3.37,3.4,3.35,3.27,3.17,2.98
D95-35,Z,3.08,3.14,3.2,3.23,3.34,3.37,3.31,3.23,3.14,2.96
D95-35,Mean,3.13,3.15,3.23,3.29,3.36,3.4,3.34,3.26,3.17,2.99
D95-35,Vs k Fol.,0.1,0.22,0.24,0.23,0.23,0.22,0.23,0.24,0.24,0.26
D95-38,X,3.98,3.96,4.18,4.38,4.44,4.46,4.44,4.41,4.35,4.28
D95-38,Y,3.8,4.01,4.32,4.41,4.46,4.47,4.45,4.43,4.36,4.28
D95-38,Z,4,4.12,4.22,4.29,4.34,4.35,4.32,4.3,4.25,4.17
D95-38,Mean,3.93,4.03,4.24,4.36,4.41,4.43,4.4,4.38,4.32,4.24
D95-38,Vs k Fol.,0.28,0.03,0.06,0.07,0.07,0.07,0.08,0.08,0.07,0.06
D95-39,X,3.25,3.39,3.52,3.63,3.68,3.7,3.69,3.67,3.62,3.57
D95-39,Y,3.25,3.41,3.55,3.65,3.7,3.72,3.71,3.69,3.65,3.61
D95-39,Z,3.1,3.23,3.39,3.52,3.59,3.62,3.61,3.59,3.54,3.51
D95-39,Mean,3.2,3.34,3.48,3.6,3.66,3.68,3.67,3.65,3.6,3.56
D95-39,Vs k Fol.,0.15,0.16,0.17,0.23,0.26,0.26,0.26,0.26,0.25,0.2
D95-4,X,3.54,3.69,3.81,3.9,3.94,3.95,3.95,3.92,3.88,3.83
D95-4,Y,3.56,3.69,3.82,3.9,3.94,3.96,3.95,3.93,3.87,3.82
D95-4,Z,3.53,3.67,3.79,3.89,3.93,3.94,3.94,3.92,3.87,3.83
D95-4,Mean,3.54,3.68,3.81,3.89,3.94,3.95,3.95,3.92,3.87,3.83
D95-4,Vs k Fol.,0.13,0.11,0.05,0.02,0.01,0.01,0.01,0.01,0.21,0.01
D95-40,X,3.96,4.17,4.45,4.56,4.61,4.63,4.62,4.59,4.51,4.46
D95-40,Y,3.95,4.28,4.47,4.58,4.64,4.66,4.64,4.62,4.54,4.48
D95-40,Z,4.24,4.35,4.43,4.51,4.56,4.58,4.57,4.55,4.48,4.42
D95-40,Mean,4.05,4.27,4.45,4.55,4.61,4.62,4.61,4.59,4.51,4.45
D95-40,Vs k Fol.,0.05,0.12,0.1,0.1,0.12,0.12,0.12,0.12,0.12,0.12
D95-44,X,3.25,3.46,3.62,3.73,3.78,3.8,3.79,3.77,3.71,3.69
D95-44,Y,3.18,3.39,3.55,3.67,3.73,3.75,3.74,3.72,3.67,3.64
D95-44,Z,3.03,3.22,3.41,3.56,3.62,3.65,3.64,3.62,3.57,3.54
D95-44,Mean,3.15,3.35,3.53,3.65,3.71,3.73,3.72,3.7,3.65,3.62
D95-44,Vs k Fol.,0.22,0.19,0.16,0.18,0.19,0.19,0.2,0.2,0.21,0.21
D95-44,,25,50,100,200,400,600,100,200,400,600
D95-6,X,3.38,3.5,3.56,3.59,3.61,3.62,3.61,3.58,3.52,3.47
D95-6,Y,3.39,3.5,3.56,3.6,3.63,3.64,3.62,3.6,3.55,3.49
D95-6,Z,3.24,3.32,3.37,3.41,3.44,3.46,3.44,3.41,3.36,3.3
D95-6,Mean,3.34,3.44,3.5,3.53,3.56,3.57,3.56,3.53,3.48,3.42
D95-6,Vs k Fol.,0.27,0.36,0.4,0.4,0.4,0.39,0.4,0.41,0.41,0.41
D95-7,X,3.1,3.28,3.43,3.57,3.65,3.68,3.68,3.66,3.63,3.6
D95-7,Y,3.06,3.24,3.4,3.54,3.63,3.66,3.65,3.64,3.6,3.57
D95-7,Z,2.95,3.15,3.35,3.51,3.61,3.64,3.63,3.62,3.58,3.57
D95-7,Mean,3.04,3.22,3.39,3.54,3.63,3.66,3.65,3.64,3.61,3.58
D95-7,Vs k Fol.,0.06,0.04,0.03,0.05,0.07,0.07,0.07,0.08,0.09,0.09
D95-9,X,3.34,3.59,3.8,3.94,4.01,4.02,4.02,4.01,3.96,3.89
D95-9,Y,3.29,3.54,3.76,3.9,3.95,3.97,3.97,3.96,3.93,3.89
D95-9,Z,3.13,3.42,3.69,3.85,3.92,3.93,3.94,3.93,3.89,3.84
D95-9,Mean,3.25,3.52,3.75,3.9,3.96,3.97,3.98,3.97,3.93,3.87
D95-9,Vs k Fol.,0.29,0.23,0.2,0.2,0.2,0.2,0.2,0.2,0.19,0.16
FH7,X,3.36,3.75,3.9,3.72,3.79,3.82,3.78,3.74,3.64,3.55
FH7,Y,3.33,3.74,3.88,3.96,4,4.02,3.99,3.96,3.88,3.56
FH7,Z,3.25,3.41,3.55,3.65,3.7,3.72,3.69,3.65,3.56,3.49
FH7,Mean,3.32,3.63,3.77,3.78,3.83,3.85,3.82,3.78,3.69,3.53
FH7,Vs k Fol.,0.37,0.06,0.02,0.01,0.02,0.01,0.02,0.03,0.06,0.41
HL3,X,3.6,3.73,3.79,3.83,3.87,3.88,3.88,3.87,3.83,3.79
HL3,Y,3.54,3.69,3.8,3.83,3.86,3.87,3.87,3.87,3.82,3.78
HL3,Z,3.6,3.69,3.76,3.83,3.87,3.88,3.88,3.87,3.83,3.79
HL3,Mean,3.58,3.7,3.79,3.83,3.86,3.87,3.88,3.87,3.83,3.78
HL3,Vs k Fol.,0.11,0.1,0.08,0.02,0.01,0.01,0.01,0.01,0.01,0.01
HL9,X,3.47,3.58,3.64,3.7,3.75,3.78,3.77,3.76,3.73,3.66
HL9,Y,3.52,3.61,3.66,3.73,3.79,3.82,3.81,3.81,3.78,3.71
HL9,Z,3.55,3.61,3.65,3.7,3.75,3.78,3.77,3.76,3.74,3.67
