Sample,Lithology,Locality,omph,opx,cpx,gt,amph,trem,ol,ep,bt,ms,chl,plg,fsp,qu,carb,apat,opaq,sph,serp
D95-10,Tonalitic gneiss,Mozitan,,,,,32,,,,6,,,50,,11,,,0.5,0.4,
D95-11,Gabbro xenolith in D95-10,Mozitan,,,4,,37,,,,18,,,39,,2,,,,,
D95-12,Metapelite xenolith in D95-10,Mozitan,,,,,47,,,,18,,,,30,5,,,,,
D95-13,Granite,Hujiahe,,,,,,,,,3,,,54,23,20,,,,,
D95-16,Tonalitic gneiss,Taoling,,,,,4,,,,12,,,71,,13,,,,0.6,
D95-19,Amphibolite xenolith in D95-16,Taoling,,,,,26,,,1,18,,,55,,,,,,,
D95-2,Metagabbro,Raobazhai,,,7,,66,,,,,,,26,,1,,,,,
D95-22,Mylonitic trondhjemitic gneiss,Wuhe,,,,,,,,14,,,8,15,12,51,,,,,
D95-24,Eclogite,Bixiling,35,,,51,,,,,,0.2,,,,13,,,1.2,,
D95-25,Eclogite,Bixiling,49,,,46,,,,,,2,,,,3,,,,,
D95-26,Eclogite,Bixiling,26,,,18,35,,,,,11,,,,10,,0.1,,,
D95-27,Garnet lherzolite,Bixiling,,,13,22,,,19,,,,,,,,,,3,,43
D95-3,Metagabbro,Zhujiapu,,8,64,,25,,2,,,,,0.5,,,0.2,,,,
D95-32,Eclogite,Ganghe,41,,,20,28,,,,,,,,,11,,,,,
D95-35,Retrograde eclogite,Wumiao,,,,,45,,,1,,,24,13,,,,4,13,,
D95-38,Eclogite,Wumiao,20,,,50,15,,,,,,,,,7,,4,4,,
D95-39,Tonalitic granulite gneiss,Wumiao,,,,,,,,24,22,,,27,11,16,0.3,,,,
D95-4,Metagabbro,Zhujiapu,,,5,,65,,,,0.4,,,28,,,,,1.5,,
D95-40,Eclogite,Hengchong,10,,,51,,,,,2,0.4,,,,22,11,0.4,3,,
D95-44,Trondhjemitic gneiss,Hengchong,,,,1.5,,,,4,12,,,27,,55,0.3,,,,
D95-6,Metapelite,Zhujiapu,,,,,27,,,,25,,,32,,16,,,,,
D95-7,Tonalitic gneiss,Zhujiapu,,,2,,7,,,,1.5,,,44,11,32,,,3,,
D95-9,Quartzite,Fuziling,,,,10,,,,7,,14,,,,68,1,,,,
FH7,Marble,Fenghuoshan,,,,,,3,,,,,,,,2,95,,,,
HL3,Mafic granulite,Huilanshan,,10,13,5,32,,,,,,,35,,,,,5,,
HL9,Mafic granulite,Huilanshan,,11,12,4,31,,,,,,,36,,,2,,4,,
HT1,Intermediate granulite,Huangtuling,,2.5,12,0.3,,,,,32,,,4,,48,,,0.5,,
HT4,Tonalitic gneiss,Huangtuling,,,,,11,,,,11,,,46,,32,,,,,
HT6,Amphibolite,Huangtuling,,,,,63,,,,2,,,35,,,,,,0.1,
TC3,Magnetite-bearing gneiss,Tiegunao,,,,,10,,,,,,,,29,52,,,9,,
