,rho (g/cm^3),Vp0,Vs0,dVp=dP,dVs=dP,dVp=dT,dVs=dT
D95-10,2.854,6.28,3.56,3.516,1.113,2.688,1.952
D95-11,2.96,6.38,3.67,4.422,1.494,2.281,1.928
D95-12,2.86,5.94,3.4,7.431,2.406,1.749,1.589
D95-13,2.647,5.86,3.51,3.785,1.08,2.885,0.862
D95-16,2.781,6.02,3.47,4.555,1.561,2.672,1.459
D95-19,2.859,5.64,3.32,8.313,3.058,1.752,1.456
D95-2,3.031,6.67,3.9,4.148,1.409,2.239,1.636
D95-22,2.737,5.98,3.62,4.487,1.518,3.09,1.424
D95-24,3.465,7.68,4.55,3.799,1.758,3.804,2.58
D95-25,3.483,7.73,4.62,5.439,2.22,3.118,2.165
D95-26,3.171,6.84,3.9,5.308,1.229,2.752,2.693
D95-27,3.26,6.99,3.87,2.5,0.538,5.823,3.853
D95-3,3.266,7.25,4.18,2.314,0.578,3.662,2.662
D95-32,3.416,7.46,4.37,6.089,3.173,3.215,1.945
D95-35,3.089,5.98,3.26,6.636,2.412,7.914,6.021
D95-38,3.57,7.12,4.35,8.614,1.409,3.758,2.636
D95-39,2.764,5.96,3.58,4.326,1.82,3.722,1.975
D95-4,3.024,6.76,3.88,3.456,1.165,2.717,2.036
D95-40,3.499,7.45,4.54,3.723,1.521,4.18,2.709
D95-44,2.766,6.11,3.62,4.307,2.283,3.913,2.824
D95-6,2.959,6.29,3.52,2.983,0.956,2.979,2.509
D95-7,2.787,5.95,3.51,6.158,2.634,2.622,1.297
D95-9,2.694,5.84,3.89,3.856,1.547,4.564,1.303
FH7,2.85,6.79,3.76,5.796,1.677,4.751,4.17
HL3,3.189,6.65,3.82,4.167,1.032,2.3,1.486
HL9,3.131,6.39,3.69,5.483,1.814,1.681,1.026
HT1,2.872,6.02,3.57,3.811,1.038,4.369,2.433
HT4,2.793,6.23,3.67,3.585,1.069,3.123,1.606
HT6,2.995,6.5,3.76,5.686,1.99,2.255,1.925
TC3,3.034,5.79,3.56,2.798,0.338,1.572,0.426
