Lat,Long,Vp,Vs,Rho
-89.0,-180.0,11.52734,7.16701,4925.89
-89.0,-179.0,6.32501,3.54956,2671.61
-89.0,-178.0,6.32532,3.54973,2671.74
-89.0,-177.0,6.32562,3.5499,2671.87
-89.0,-176.0,6.3259300000000005,3.5500700000000003,2672.0
-89.0,-175.0,6.32623,3.5502399999999996,2672.12
-89.0,-174.0,6.32654,3.55041,2672.25
-89.0,-173.0,6.32684,3.55058,2672.38
-89.0,-172.0,6.58115,3.72539,2782.41
-89.0,-171.0,6.58072,3.72506,2782.23
-89.0,-170.0,6.58029,3.72473,2782.04
-89.0,-169.0,6.57987,3.7244,2781.85
-89.0,-168.0,6.5796,3.76918,2785.4
-89.0,-167.0,6.57917,3.76871,2785.2
-89.0,-166.0,6.57875,3.76825,2785.0
-89.0,-165.0,6.57832,3.7677899999999998,2784.8
-89.0,-164.0,6.57789,3.7673200000000002,2784.6
-89.0,-163.0,6.57746,3.7668600000000003,2784.41
-89.0,-162.0,6.57704,3.7664,2784.21
-89.0,-161.0,6.57661,3.76593,2784.01
-89.0,-160.0,6.57618,3.7654699999999997,2783.81
-89.0,-159.0,6.57576,3.76501,2783.61
-89.0,-158.0,6.57533,3.7645500000000003,2783.41
-89.0,-157.0,6.5748999999999995,3.76408,2783.21
-89.0,-156.0,6.574479999999999,3.76362,2783.02
-89.0,-155.0,6.574050000000001,3.76316,2782.82
-89.0,-154.0,6.57362,3.76269,2782.62
-89.0,-153.0,6.573189999999999,3.76223,2782.42
-89.0,-152.0,6.57277,3.76177,2782.22
-89.0,-151.0,6.5723400000000005,3.7613000000000003,2782.02
-89.0,-150.0,6.57191,3.76084,2781.82
-89.0,-149.0,6.57149,3.76038,2781.63
-89.0,-148.0,6.57106,3.7599099999999996,2781.43
-89.0,-147.0,6.57063,3.7594499999999997,2781.23
-89.0,-146.0,6.5702,3.75899,2781.03
-89.0,-145.0,6.56978,3.75852,2780.83
-89.0,-144.0,6.56935,3.75806,2780.63
-89.0,-143.0,6.56892,3.7576,2780.43
-89.0,-142.0,6.5685,3.75713,2780.24
-89.0,-141.0,6.56807,3.75667,2780.04
-89.0,-140.0,6.56764,3.75621,2779.84
-89.0,-139.0,6.56721,3.75574,2779.64
-89.0,-138.0,6.56679,3.7552800000000004,2779.44
-89.0,-137.0,6.5663599999999995,3.75482,2779.24
-89.0,-136.0,6.565930000000001,3.75435,2779.04
-89.0,-135.0,6.565510000000001,3.7538899999999997,2778.84
-89.0,-134.0,6.56508,3.75343,2778.65
-89.0,-133.0,6.564649999999999,3.75297,2778.45
-89.0,-132.0,6.564229999999999,3.7525,2778.25
