Lat,Long,Top of upper,top of middle,top of lower,bottom of lower
-89.0,-180.0,-2.296,55.876,112.35,168.861
-89.0,-179.0,0.751,10.378,19.717,29.059
-89.0,-178.0,0.753,10.38,19.72,29.062
-89.0,-177.0,0.754,10.382,19.722,29.065
-89.0,-176.0,0.756,10.385,19.725,29.068
-89.0,-175.0,0.758,10.387,19.728,29.071
-89.0,-174.0,0.759,10.389,19.73,29.074
-89.0,-173.0,0.761,10.391,19.733,29.078
-89.0,-172.0,0.448,11.605,22.434,33.254
-89.0,-171.0,0.451,11.604,22.429,33.245
-89.0,-170.0,0.454,11.602,22.424,33.236
-89.0,-169.0,0.456,11.601,22.419,33.227
-89.0,-168.0,0.358,11.751,22.819,33.873
-89.0,-167.0,0.361,11.749,22.813,33.863
-89.0,-166.0,0.363,11.747,22.806,33.852
-89.0,-165.0,0.366,11.745,22.8,33.841
-89.0,-164.0,0.369,11.744,22.794,33.83
-89.0,-163.0,0.372,11.742,22.787,33.82
-89.0,-162.0,0.375,11.74,22.781,33.809
-89.0,-161.0,0.378,11.738,22.775,33.798
-89.0,-160.0,0.381,11.737,22.769,33.787
-89.0,-159.0,0.384,11.735,22.762,33.776
-89.0,-158.0,0.386,11.733,22.756,33.766
-89.0,-157.0,0.389,11.731,22.75,33.755
-89.0,-156.0,0.392,11.73,22.743,33.744
-89.0,-155.0,0.395,11.728,22.737,33.733
-89.0,-154.0,0.398,11.726,22.731,33.723
-89.0,-153.0,0.401,11.724,22.725,33.712
-89.0,-152.0,0.404,11.723,22.718,33.701
-89.0,-151.0,0.407,11.721,22.712,33.69
-89.0,-150.0,0.41,11.719,22.706,33.68
-89.0,-149.0,0.412,11.718,22.699,33.669
-89.0,-148.0,0.415,11.716,22.693,33.658
-89.0,-147.0,0.418,11.714,22.687,33.647
-89.0,-146.0,0.421,11.712,22.681,33.637
-89.0,-145.0,0.424,11.711,22.674,33.626
-89.0,-144.0,0.427,11.709,22.668,33.615
-89.0,-143.0,0.43,11.707,22.662,33.604
-89.0,-142.0,0.433,11.705,22.655,33.593
-89.0,-141.0,0.435,11.704,22.649,33.583
-89.0,-140.0,0.438,11.702,22.643,33.572
-89.0,-139.0,0.441,11.7,22.637,33.561
-89.0,-138.0,0.444,11.698,22.63,33.55
-89.0,-137.0,0.447,11.697,22.624,33.54
-89.0,-136.0,0.45,11.695,22.618,33.529
-89.0,-135.0,0.453,11.693,22.611,33.518
-89.0,-134.0,0.456,11.691,22.605,33.507
-89.0,-133.0,0.459,11.69,22.599,33.497
-89.0,-132.0,0.461,11.688,22.593,33.486
-89.0,-131.0,0.464,11.686,22.586,33.475
-89.0,-130.0,0.467,11.684,22.58,33.464
-89.0,-129.0,0.47,11.683,22.574,33.454
-89.0,-128.0,0.473,11.681,22.568,33.443
-89.0,-127.0,0.476,11.679,22.561,33.432
-89.0,-126.0,0.479,11.677,22.555,33.421
-89.0,-125.0,0.482,11.676,22.549,33.41
-89.0,-124.0,0.484,11.674,22.542,33.4
-89.0,-123.0,0.487,11.672,22.536,33.389
-89.0,-122.0,0.49,11.671,22.53,33.378
-89.0,-121.0,0.493,11.669,22.524,33.367
-89.0,-120.0,0.496,11.667,22.517,33.357
-89.0,-119.0,0.455,11.73,22.686,33.629
-89.0,-118.0,0.462,11.722,22.663,33.591
-89.0,-117.0,0.469,11.715,22.64,33.553
-89.0,-116.0,0.476,11.707,22.617,33.516
-89.0,-115.0,0.426,11.47,22.196,32.911
-89.0,-114.0,0.442,11.498,22.235,32.961
-89.0,-113.0,0.458,11.525,22.273,33.011
-89.0,-112.0,0.474,11.552,22.311,33.06
-89.0,-111.0,0.489,11.579,22.35,33.11
-89.0,-110.0,0.505,11.607,22.388,33.159
-89.0,-109.0,0.521,11.634,22.427,33.209
-89.0,-108.0,0.537,11.661,22.465,33.259
-89.0,-107.0,0.535,11.674,22.492,33.301
-89.0,-106.0,0.533,11.687,22.52,33.343
-89.0,-105.0,0.531,11.7,22.547,33.386
-89.0,-104.0,0.529,11.713,22.575,33.428
-89.0,-103.0,0.527,11.726,22.602,33.47
-89.0,-102.0,0.525,11.739,22.63,33.513
-89.0,-101.0,0.523,11.752,22.657,33.555
-89.0,-100.0,0.588,11.756,22.6,33.437
-89.0,-99.0,0.595,11.767,22.616,33.458
-89.0,-98.0,0.602,11.779,22.633,33.479
-89.0,-97.0,0.609,11.791,22.649,33.5
-89.0,-96.0,0.632,11.733,22.516,33.29
-89.0,-95.0,0.64,11.739,22.519,33.291
-89.0,-94.0,0.649,11.745,22.522,33.292
-89.0,-93.0,0.657,11.751,22.525,33.293
-89.0,-92.0,0.665,11.756,22.529,33.293
-89.0,-91.0,0.674,11.762,22.532,33.294
-89.0,-90.0,0.682,11.768,22.535,33.295
-89.0,-89.0,0.69,11.773,22.538,33.296
-89.0,-88.0,0.699,11.779,22.541,33.297
-89.0,-87.0,0.707,11.785,22.545,33.298
