Nominal composition,TLK,"rho, 10^3 kg/m^3","KS, 10^6 Pa","K_T, 10^9 Pa"
"Li,Si,0,",1693,2.12,15,14.4
"Li,Si,0,",1558,2.15,15.6,15.1
"Li,Si,0,",1411,2.17,16.3,15.8
"Li, SiO,",1543,2.08,20.7,19.1
"Na,Si,O0,",1693,2.2,14,13.1
"Na,Si,0,",1556,2.23,15.1,14.1
"Na,Si,0,",1408,2.26,16.2,15.2
"Na,SiO,*",1573,2.22,15.7,14
"Na,SiO,°",1458,2.25,17,15.2
"K,Si,0,",1693,2.16,10.3,9.7
"K,Si,0,",1553,2.19,11.1,10.5
"K,5Si,0,",1408,2.22,11.9,11.3
"K,SiO,",1698,2.1,15,6.7
"K,SiO,",1498,2.17,8.5,15
"Rb,Si,0,",1693,2.78,78,72
"Rb,Si,O,",1560,2.83,8.7,8
"Rb,Si,0,",1408,2.88,9.9,9.1
"Cs,8i,0,",1693,3.14,6.4,6.1
"Cs,8i,0,",1508,3.18,7.2,6.8
"Cs,Si,0,",1363,3.26,7.9,7.5
"Cs,Si,O0,",1208,3.34,8.8,8.4
"MgsiO,",1913,2.52,20.6,20
"CaSiO,",1836,2.65,27.1,25
"SrSi,0,",1758,3.02,19.6,19
"$rSi,0,",1653,3.04,20.1,19.4
"BaSi,O,",1793,3.44,19.5,18.4
"BaSi,O,",1693,3.47,20.2,19.1
Di,1758,2.6,24.2,23.4
Di,1698,2.61,24.1,23.3
An,1833,2.56,20.6,20.3
Ang Digg,1673,2.6,21.6,214
ANggDigg,1573,2.61,22.4,21.6
Abs Ans,1753,2.44,17.8,17.6
"Abs,Dis9",1698,2.45,18.2,17.8
AbsgDizg,1598,2.46,19.3,18.9
"Ab,,Di,,",1753,2.39,16.4,16.3
"An,,Di,,",1648,2.4,16.7,16.6
"Ab,,An,,Di,,",1698,2.49,19.5,19.2
"Ab,,An,,Di,,",1583,2.5,19.8,19.5
"Or,An,,",1783,2.33,13.8,13.6
"Or,,An,,",1693,2.34,13.9,13.8
"OrjgAn,,",1598,2.35,14.1,14
"OFf6,Di;,",1768,2.38,16,15.6
,1693,2.39,16.2,15.8
"Org,Diz,  Or,, Dix,",1578,2.4,16.5,16.2
Fs-2,1693,3.48,19.2,18.2
Fs-2,1598,3.51,20.6,19.4
"Fe,Si0,?",1653,3.71,21.4,20.5
"Fe,Si0,?",1503,3.764,22.6,21.7
SN-7?,1603,3.18,19.6,17.9
SN-10*,1723,2.39,17.9,17.4
SN-10°,1663,2.4,18,17.5
"caTiSiO,",1753,2.96,19.9,15.6
"CaTiSiO,",1653,3.01,20,15.8
U-105,1698,2.61,19,17.8
U-105,1608,2.64,19.5,18.3
U-105,1503,2.66,19.8,18.6
Kii-2,1708,2.65,17.9,17.3
Kil-2,1608,2.67,18.2,17.6
Kil-2,1505,2.68,18.3,17.7
Jor-44,1803,2.55,18.6,18.1
Jor-44,1703,2.56,18.7,18.2
Jor-44,1603,2.57,19,18.6
Jor-44,1503,2.59,19.4,19
Col-7A,1783,2.44,16.1,15.9
Cal-7A,1553,2.46,16.6,16.4
Col-7B,1903,2.39,16,15.8
Col-7B,1803,2.4,16.2,16
Col-7B,1703,2.41,16.4,16.2
NZC-7,1803,2.29,13,12.9
NZC-7,1653,2.3,13.3,13.2
NZC-7,1553,2.31,13.5,13.4
