Elt, upper, middle, lower, total 
Tm,0.30,0.32,0.24,0.28
Yb,2.0,2.2,1.5,1.9
Lu,0.31,0.4,0.25,0.30
Hf,5.3,4.4,1.9,3.7
Ta,0.9,0.6,0.6,0.7
W,1.9,0.60,0.60,1
Re,0.198,,0.18,0.188
Os,0.031,,0.05,0.041
Ir,0.022,,0.05,0.037
Pt,0.5,0.85,2.7,1.5
Au,1.5,0.66,1.6,1.3
Hg,0.05,0.0079,0.014,0.03
Tl,0.9,0.27,0.32,0.5
Pb,17,15.2,4,11
Bi,0.16,0.17,0.2,0.18
Th,10.5,6.5,1.2,5.6
U,2.7,1.3,0.2,1.3
Eu/Eu*,0.72,0.96,1.14,0.93
Heat production,1.65,1.00,0.19,0.89
"(mW m 3)",,,,
Nb/Ta,13.4,16.5,8.3,12.4
Zr/Hf,36.7,33.9,35.8,35.5
Th/U,3.8,4.9,6.0,4.3
K/U,9475,15 607,27 245,12 367
La/Yb,15.4,10.7,5.3,10.6
Rb/Cs,20,30,37,24
K/Rb,283,296,462,304
La/Ta,36,42,13,29
SiO2,66.6,63.5,53.4,60.6
TiO2,0.64,0.69,0.82,0.72
Al2O3,15.4,15.0,16.9,15.9
FeOT,5.04,6.02,8.57,6.71
MnO,0.10,0.10,0.10,0.10
MgO,2.48,3.59,7.24,4.66
CaO,3.59,5.25,9.59,6.41
Na2O,3.27,3.39,2.65,3.07
K2O,2.80,2.30,0.61,1.81
P2O5,0.15,0.15,0.10,0.13
Total,100.05,100.00,100.00,100.12
Mg#,46.7,51.5,60.1,55.3
Li,24,12,13,16
Be,2.1,2.3,1.4,1.9
B,17,17,2,11
N,83,,34,56
F,557,524,570,553
S,621,249,345,404
Cl,370,182,250,244
Sc,14.0,19,31,21.9
V,97,107,196,138
Cr,92,76,215,135
Co,17.3,22,38,26.6
Ni,47,33.5,88,59
Cu,28,26,26,27
Zn,67,69.5,78,72
Ga,17.5,17.5,13,16
Ge,1.4,1.1,1.3,1.3
As,4.8,3.1,0.2,2.5
Se,0.09,0.064,0.2,0.13
Br,1.6,,0.3,0.88
Rb,84,65,11,49
Sr,320,282,348,320
Y,21,20,16,19
Zr,193,149,68,132
Nb,12,10,5,8
Mo,1.1,0.60,0.6,0.8
Ru,0.34,,0.75,0.57
Pd,0.52,0.76,2.8,1.5
Ag,53,48,65,56
Cd,0.09,0.061,0.10,0.08
In,0.056,,0.05,0.052
Sn,2.1,1.30,1.7,1.7
Sb,0.4,0.28,0.10,0.2
I,1.4,,0.14,0.71
Cs,4.9,2.2,0.3,2
Ba,628,532,259,456
La,31,24,8,20
Ce,63,53,20,43
Pr,7.1,5.8,2.4,4.9
Nd,27,25,11,20
Sm,4.7,4.6,2.8,3.9
Eu,1.0,1.4,1.1,1.1
Gd,4.0,4.0,3.1,3.7
Tb,0.7,0.7,0.48,0.6
Dy,3.9,3.8,3.1,3.6
Ho,0.83,0.82,0.68,0.77
Er,2.3,2.3,1.9,2.1
